kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
z_sweep,z_155,155.0,0.9999999999999999,1,-+-,8.428547654060199e-16,0.0012572376974890813,5.543075565246404e-16,0.08091466581294958,1.0,1.9142807884020079,0.0
z_sweep,z_160,160.0,1.0,1,-+-,6.051597973606284e-16,0.0012572376974890759,2.9279495178579385e-16,0.08091466581294986,1.0,1.9142807884020079,0.0
z_sweep,z_165,165.0,1.0,1,--+,8.437005666844967e-16,0.001257237697489074,2.8436869693856603e-16,0.0809146658129499,1.0,1.9142807884020079,0.0
z_sweep,z_170,170.0,0.9999999999999999,1,--+,7.986006600670892e-16,0.0012572376974890774,2.4063057996919283e-16,0.08091466581294994,1.0,1.9142807884020079,0.0
z_sweep,z_175,175.0,1.0,1,--+,7.229013158861015e-16,0.001257237697489074,3.7451524854799933e-16,0.08091466581294977,1.0,1.9142807884020079,0.0
z_sweep,z_180,180.0,1.0,1,+++,4.891261655465388e-16,0.0012572376974890778,2.1746503885116073e-16,0.08091466581294991,1.0,1.9142807884020079,0.0
z_sweep,z_185,185.0,1.0,1,+++,1.1226663858836956e-15,0.0012572376974890763,4.840384016273231e-16,0.08091466581294965,1.0,1.9142807884020079,0.0
z_sweep,z_190,190.0,0.9999999999999999,1,+++,2.66465455711608e-15,0.0012572376974890804,3.4729220367568646e-16,0.0809146658129498,1.0,1.9142807884020079,0.0
z_sweep,z_195,195.0,1.0000000000000002,1,+++,1.2283468022915448e-15,0.001257237697489076,6.380839351902493e-16,0.0809146658129495,1.0,1.9142807884020079,0.0
z_sweep,z_200,200.0,1.0,-1,++-,6.211613926951295e-16,0.001257237697489076,3.5165547864416066e-16,0.08091466581294983,1.0,1.9142807884020079,0.0
z_sweep,z_205,205.0,1.0,-1,-++,1.0118885362418712e-15,0.0012572376974890763,0.038461903353983355,0.03911966728071887,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_210,210.0,1.0,-1,-++,7.063362605807324e-16,0.0012572376974890813,0.03846190335398335,0.039119667280718876,0.6274509803921569,1.9142807884020079,0.0
